Species	Num_assemblies	Kingdom	Phylum	Class	Order	Family	Genus
Bifidobacterium moukalabense	13	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Brucella ovis	13	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella
Brucella canis	13	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella
Variovorax paradoxus	13	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
Mycobacteroides immunogenum	13	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacteroides
Mustela putorius	12	Eukaryota	Chordata	Mammalia	Carnivora	Mustelidae	Mustela
Gordonibacter urolithinfaciens	12	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter
Adlercreutzia equolifaciens	12	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
Bacteroides intestinalis	12	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Anaerobutyricum hallii	12	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerobutyricum
Flavonifractor plautii	12	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor
Yersinia intermedia	12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Burkholderia seminalis	12	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
uncultured Polaribacter sp.	12	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter
uncultured Planktomarina sp.	12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina
uncultured Acinetobacter sp.	12	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
uncultured Oribacterium sp.	12	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium
uncultured Campylobacter sp.	12	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
uncultured Roseobacter sp.	12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseobacter
Aquabacterium sp.	12	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Aquabacterium
Sulfuritalea sp.	12	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Sulfuritalea
Nitrospirales bacterium	12	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	NA	NA
Legionella sp.	12	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Butyricicoccus sp.	12	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Butyricicoccus
Enterobacter cancerogenus	12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Aspergillus niger	12	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Streptomyces clavuligerus	12	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces
Bacillus paranthracis	12	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Syntrophobacteraceae bacterium	12	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	NA
Cytophagaceae bacterium	12	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	NA
Rhizobium pusense	12	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium
Desulfuromonadaceae bacterium	12	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	NA
Methanosarcinaceae archaeon	12	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	NA
Rhodococcus qingshengii	12	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus
Coprococcus sp.	12	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus
Candidatus Puniceispirillum sp.	12	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Candidatus Puniceispirillum
Polaribacter sp.	12	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter
Lutibacter sp.	12	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter
Winogradskyella sp.	12	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
Bacillus spizizenii	12	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Enterobacter chengduensis	12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Wolbachia pipientis	12	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia
Methanoculleus sp.	12	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
Hungatella hathewayi	12	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Hungatella
Collinsella intestinalis	12	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Peptostreptococcaceae bacterium	12	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	NA
uncultured Litoricola sp.	12	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola
Moraxellaceae bacterium	12	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	NA
Fusobacteriaceae bacterium	12	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	NA
Methanomicrobium sp.	12	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanomicrobium
Oryzias latipes	12	Eukaryota	Chordata	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias
Campylobacter curvus	12	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Pseudomonas savastanoi	12	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Limosilactobacillus mucosae	12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus
Lelliottia amnigena	12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lelliottia
Candidatus Liptonbacteria bacterium	12	Bacteria	Candidatus Liptonbacteria	NA	NA	NA	NA
Bacteroides finegoldii	12	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Colwellia sp.	12	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
Citromicrobium sp.	12	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Citromicrobium
Magnetovibrio sp.	12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Magnetovibrio
Chloracidobacterium sp.	12	Bacteria	Acidobacteria	Blastocatellia	NA	NA	Chloracidobacterium
Acinetobacter lactucae	12	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Vibrio owensii	12	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Pseudomonas koreensis	12	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Xanthomonas hortorum	12	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
Acholeplasma laidlawii	12	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma
Magnetococcales bacterium	12	Bacteria	Proteobacteria	Alphaproteobacteria	Magnetococcales	NA	NA
uncultured Malassezia	12	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	NA
Streptomyces sp.	12	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces
Melissococcus plutonius	12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Melissococcus
Enhydrobacter aerosaccus	12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	NA	Enhydrobacter
uncultured Gallionellaceae bacterium	12	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	NA
uncultured Conexibacter sp.	12	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter
Acinetobacter indicus	12	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Mobiluncus curtisii	12	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus
Epulopiscium sp.	12	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Epulopiscium
Aliarcobacter skirrowii	12	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Aliarcobacter
Larix gmelinii	12	Eukaryota	Streptophyta	Pinopsida	NA	Pinaceae	Larix
Puccinia striiformis	12	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia
Thermofilum sp.	12	Archaea	Crenarchaeota	Thermoprotei	Thermofilales	Thermofilaceae	Thermofilum
Spraguea lophii	12	Eukaryota	Microsporidia	NA	NA	Spraguidae	Spraguea
Lentilactobacillus buchneri	12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus
uncultured Thiothrix sp.	12	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix
Sinorhizobium fredii	12	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Sinorhizobium
Vibrio metoecus	12	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Vibrio tasmaniensis	12	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Photorhabdus luminescens	12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Photorhabdus
Cutibacterium avidum	12	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium
Pseudoalteromonas piscicida	12	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudomonas avellanae	12	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Mycolicibacterium conceptionense	12	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium
Moritella viscosa	12	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella
coral metagenome	12	NA	NA	NA	NA	NA	NA
Microthrixaceae bacterium	11	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Microthrixaceae	NA
Streptococcus vestibularis	11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Clostridium symbiosum	11	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium
Blautia faecis	11	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia
Enterocloster bolteae	11	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster
Bacteroides faecis	11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Cyclospora cayetanensis	11	Eukaryota	Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	Cyclospora
Faecalicatena fissicatena	11	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Faecalicatena
Alistipes putredinis	11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Tyzzerella nexilis	11	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Tyzzerella
Megasphaera elsdenii	11	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
Niallia circulans	11	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Niallia
Yersinia bercovieri	11	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Priestia flexa	11	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Priestia
Parvularculaceae bacterium	11	Bacteria	Proteobacteria	Alphaproteobacteria	Parvularculales	Parvularculaceae	NA
Chlamydiia bacterium	11	Bacteria	Chlamydiae	Chlamydiia	NA	NA	NA
Candida parapsilosis	11	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
Rothia aeria	11	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia
Thalassospira sp.	11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira
Cupriavidus sp.	11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
uncultured Formosa sp.	11	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa
uncultured Puniceicoccaceae bacterium	11	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	NA
Halobacteriales archaeon	11	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA
Prevotella nanceiensis	11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Microbacterium esteraromaticum	11	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium
Ensifer adhaerens	11	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Ensifer
uncultured Caldiserica bacterium	11	Bacteria	Caldiserica	NA	NA	NA	NA
Candidatus Brocadiae bacterium	11	Bacteria	Planctomycetes	Candidatus Brocadiae	NA	NA	NA
Fusobacterium sp.	11	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Bordetella hinzii	11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
Comamonas sp.	11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
uncultured Chryseobacterium sp.	11	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
Candidatus Nitrosopelagicus sp.	11	Archaea	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosopelagicus
Ramlibacter sp.	11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter
Fannyhessea vaginae	11	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Fannyhessea
Prevotella denticola	11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Streptococcus constellatus	11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Ktedonobacteraceae bacterium	11	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	NA
Streptococcaceae bacterium	11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA
Vibrio metschnikovii	11	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Gluconobacter cerinus	11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
Ilumatobacter sp.	11	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter
Cytophagia bacterium	11	Bacteria	Bacteroidetes	Cytophagia	NA	NA	NA
Porticoccus sp.	11	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccus
Candidatus Microthrix sp.	11	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Microthrixaceae	Candidatus Microthrix
Pseudomonas mosselii	11	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Ruminococcus bicirculans	11	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus
Desulfovibrio piger	11	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Paraburkholderia aspalathi	11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
Pseudomonas juntendi	11	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Candidatus Pelagibacter bacterium	11	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter
Succinivibrionaceae bacterium	11	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	NA
Candidatus Methanomethylophilus sp.	11	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Candidatus Methanomethylophilaceae	Candidatus Methanomethylophilus
Candidatus Parvarchaeota archaeon	11	Archaea	Candidatus Parvarchaeota	NA	NA	NA	NA
permafrost metagenome	11	NA	NA	NA	NA	NA	NA
Candidatus Brocadiaceae bacterium	11	Bacteria	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	NA
Rhodococcus sp.	11	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus
Candidatus Hodarchaeota archaeon	11	Archaea	Candidatus Hodarchaeota	NA	NA	NA	NA
uncultured Azospirillum sp.	11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Azospirillum
uncultured Coprococcus sp.	11	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus
uncultured Paraprevotella sp.	11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Mariprofundaceae bacterium	11	Bacteria	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	NA
Zetaproteobacteria bacterium	11	Bacteria	Proteobacteria	Zetaproteobacteria	NA	NA	NA
Rhodocyclales bacterium	11	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	NA	NA
Campylobacter lanienae	11	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Candidatus Sungbacteria bacterium	11	Bacteria	Candidatus Sungbacteria	NA	NA	NA	NA
Candidatus Wildermuthbacteria bacterium	11	Bacteria	Candidatus Wildermuthbacteria	NA	NA	NA	NA
Pseudomonas nitroreducens	11	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Roseobacter sp.	11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Roseobacter
Nitrososphaerales archaeon	11	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	NA	NA
Candidatus Hydrothermarchaeota archaeon	11	Archaea	Candidatus Hydrothermarchaeota	NA	NA	NA	NA
DHVE2 group archaeon	11	Archaea	Candidatus Thermoplasmatota	NA	NA	NA	NA
Pyrodictiaceae archaeon	11	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	NA
mine drainage metagenome	11	NA	NA	NA	NA	NA	NA
Gluconobacter oxydans	11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
Chlamydia psittaci	11	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia
Pedobacter sp.	11	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
Pseudomonas proteolytica	11	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Listeria cossartiae	11	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria
uncultured Bdellovibrionales bacterium	11	Bacteria	Proteobacteria	Oligoflexia	Bdellovibrionales	NA	NA
uncultured Curvibacter sp.	11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter
uncultured Candidatus Marinamargulisbacteria bacterium	11	Bacteria	Candidatus Margulisbacteria	Candidatus Marinamargulisbacteria	NA	NA	NA
uncultured Geobacter sp.	11	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter
uncultured Desulfuromonadales bacterium	11	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	NA	NA
Geodermatophilaceae bacterium	11	Bacteria	Actinobacteria	Actinomycetia	Geodermatophilales	Geodermatophilaceae	NA
Bacillus cytotoxicus	11	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
subsurface metagenome	11	NA	NA	NA	NA	NA	NA
Marine Group I thaumarchaeote	11	Archaea	Thaumarchaeota	NA	NA	NA	NA
uncultured Succiniclasticum sp.	11	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Succiniclasticum
Vibrio mediterranei	11	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Rhodopirellula sp.	11	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula
Vibrio aestuarianus	11	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Pseudomonas veronii	11	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Achromobacter ruhlandii	11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
Acidilobales archaeon	11	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	NA	NA
Candidatus Anoxychlamydiales bacterium	11	Bacteria	Chlamydiae	Chlamydiia	Candidatus Anoxychlamydiales	NA	NA
uncultured Elusimicrobium sp.	11	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium
Rhodococcus rhodochrous	11	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Rhodococcus
uncultured OCS116 cluster bacterium	11	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
Aliivibrio finisterrensis	11	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio
Moorella thermoacetica	11	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella
Campylobacter helveticus	11	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Leptospira levettii	11	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira
Vibrio coralliirubri	11	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Edwardsiella piscicida	11	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Edwardsiella
gamma proteobacterium symbiont of Ctena orbiculata	11	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
Triticum aestivum	11	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Triticum
Roseibacillus sp.	11	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseibacillus
Vibrio nigripulchritudo	11	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Piscirickettsia salmonis	11	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia
Dialister invisus	10	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister
Yersinia massiliensis	10	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Clostridium tagluense	10	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Methylocystis sp.	10	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis
uncultured candidate division Zixibacteria bacterium	10	Bacteria	candidate division Zixibacteria	NA	NA	NA	NA
uncultured Neisseria sp.	10	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
uncultured Selenomonas sp.	10	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas
Neisseria sicca	10	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Candidatus Sulcia muelleri	10	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NA	Candidatus Sulcia
Leuconostoc gelidum	10	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc
Thermodesulfovibrionales bacterium	10	Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	NA	NA
Desulfobacula sp.	10	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacula
Thermotoga sp.	10	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga
Proteiniphilum sp.	10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Proteiniphilum
Streptomyces scabiei	10	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces
Stenotrophomonas indicatrix	10	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
Melioribacteraceae bacterium	10	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	NA
Pseudomonadaceae bacterium	10	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA
Methanobacteriaceae archaeon	10	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA
Pseudolabrys sp.	10	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Pseudolabrys
Staphylococcus caprae	10	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Steroidobacteraceae bacterium	10	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Steroidobacteraceae	NA
Cryobacterium sp.	10	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Cryobacterium
Rhizobacter sp.	10	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Rhizobacter
Lysobacter sp.	10	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
Acidithiobacillus ferriphilus	10	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus
Cygnus atratus	10	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Cygnus
