Species	Num_assemblies	Kingdom	Phylum	Class	Order	Family	Genus
Hyphomicrobium sp.	19	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobium
Neisseria subflava	19	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Hafnia paralvei	19	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia
Phyllosticta citricarpa	19	Eukaryota	Ascomycota	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	Phyllosticta
Bacillus atrophaeus	19	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Candidatus Margulisbacteria bacterium	19	Bacteria	Candidatus Margulisbacteria	NA	NA	NA	NA
Erythrobacter sp.	19	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
Weizmannia coagulans	19	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Weizmannia
uncultured Akkermansia sp.	19	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
Acetatifactor sp.	19	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetatifactor
Porphyromonas levii	19	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Propionibacteriaceae bacterium	19	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	NA
Pedosphaera sp.	19	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobia subdivision 3	Pedosphaera
Acetobacter sp.	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter
uncultured Atopobiaceae bacterium	19	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	NA
Vibrio paracholerae	19	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
uncultured Subdoligranulum sp.	19	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Subdoligranulum
Psychrobacter immobilis	19	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter
Mobiluncus mulieris	19	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus
uncultured Rhodopila sp.	19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Rhodopila
uncultured Methanosarcinales archaeon	19	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	NA	NA
uncultured Candidatus Berkelbacteria bacterium	19	Bacteria	Candidatus Berkelbacteria	NA	NA	NA	NA
Pseudomonas psychrotolerans	19	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
compost metagenome	19	NA	NA	NA	NA	NA	NA
Desulfonatronospira sp.	19	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfonatronospira
Mycobacterium colombiense	19	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium
Solemya velum gill symbiont	19	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
activated sludge metagenome	19	NA	NA	NA	NA	NA	NA
Hyphomicrobiaceae bacterium	18	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	NA
Bryobacterales bacterium	18	Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	NA	NA
Alteromonas sp.	18	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
Phascolarctobacterium faecium	18	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
Acinetobacter towneri	18	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
uncultured Pseudomonas sp.	18	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Alteromonas macleodii	18	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
Nitrososphaeraceae archaeon	18	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
Mycoplasmataceae bacterium	18	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	NA
Acinetobacter calcoaceticus	18	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Rhizobium bangladeshense	18	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium
Propionibacterium sp.	18	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacterium
Ferruginibacter sp.	18	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Ferruginibacter
Roseburia sp.	18	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia
Parabacteroides goldsteinii	18	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Erysipelotrichales bacterium	18	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	NA	NA
Odoribacter splanchnicus	18	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter
Kordiimonadaceae bacterium	18	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	NA
Limnohabitans sp.	18	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans
Corynebacterium pseudotuberculosis	18	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Selenomonadales bacterium	18	Bacteria	Firmicutes	Negativicutes	Selenomonadales	NA	NA
Junonia zonalis	18	Eukaryota	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Junonia
Methanomicrobia archaeon	18	Archaea	Euryarchaeota	Methanomicrobia	NA	NA	NA
Bradyrhizobium japonicum	18	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
Pseudoalteromonas luteoviolacea	18	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
Gemmiger sp.	18	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	Gemmiger
uncultured Methanobrevibacter sp.	18	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
Nitrosospira sp.	18	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira
Candidatus Altiarchaeales archaeon	18	Archaea	Candidatus Altiarchaeota	NA	Candidatus Altiarchaeales	NA	NA
Streptococcus equinus	18	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Pectobacterium carotovorum	18	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium
Azospirillum brasilense	18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Azospirillum
Candidatus Vogelbacteria bacterium	18	Bacteria	Candidatus Vogelbacteria	NA	NA	NA	NA
Kluyvera intermedia	18	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera
Ruegeria atlantica	18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Ruegeria
uncultured SAR92 cluster bacterium	18	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	NA
Bordetella avium	18	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
